trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.36787944117144233}",25,0,-117.68477381856269,"{0: 11, 1: 11, 2: 0, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.36714441755772104}",20,0,-47.44347314600546,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.3664108625221595}",30,0,-30.180434528158976,"{0: 20, 1: 8, 2: 2, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.3656787731305366}",25,0,-51.74695564307962,"{0: 15, 1: 6, 2: 3, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.36494814645449375}",25,0,-91.32970867282984,"{0: 17, 1: 6, 2: 0, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.3642189795715234}",20,0,-7.856459953260759,"{0: 14, 1: 5, 2: 1, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.3634912695649568}",30,0,-98.8716525816605,"{0: 15, 1: 13, 2: 1, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.36276501352395324}",20,0,-33.228565141213856,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.36204020854348745}",25,0,-24.822991380290283,"{0: 18, 1: 5, 2: 2, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.3613168517243386}",25,0,-53.80157116478774,"{0: 17, 1: 7, 2: 0, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.3605949401730783}",20,0,-47.91370672773124,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.35987447100205955}",25,9,-18.952900443367138,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.35915544132940463}",25,0,-30.68391135367403,"{0: 15, 1: 9, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.35843784827899394}",30,0,-63.48894609905823,"{0: 19, 1: 9, 2: 1, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.3577216889804542}",25,0,-105.66479765799401,"{0: 15, 1: 5, 2: 2, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.3570069605691474}",30,0,-40.66053448584039,"{0: 23, 1: 1, 2: 5, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.3562936601861589}",20,0,-43.64559053425846,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.35558178497828613}",20,8,-31.530637242114253,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.35487133209802746}",20,0,-92.84771005524003,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.3541622987035703}",20,0,-21.00041766073969,"{0: 13, 1: 6, 2: 1, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.35345468195878016}",20,3,-19.910959271829388,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
22,False,"{'a': 0.5, 'e': 0.3527484790331891}",25,0,-83.5732873995713,"{0: 11, 1: 10, 2: 3, 3: 1, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.35204368710198464}",25,0,-37.6305743377011,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.35134030334599786}",25,9,7.661927204995552,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.35063832495169295}",20,0,-13.41453573119894,"{0: 14, 1: 5, 2: 1, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.3499377491111554}",25,2,-27.80670053956991,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.3492385730220808}",30,0,-5.665744674592799,"{0: 25, 1: 3, 2: 2, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.348540793887764}",30,18,-0.17457142306330398,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.34784440891708746}",35,8,-31.271465233052915,"{0: 21, 1: 4, 2: 1, 3: 0, 4: 1}",1
30,False,"{'a': 0.5, 'e': 0.3471494153245104}",25,0,-9.61211819878866,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.34645581033005746}",25,0,-39.74858737090614,"{0: 21, 1: 2, 2: 0, 3: 1, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.34576359115930777}",30,0,-59.69099294334667,"{0: 21, 1: 6, 2: 2, 3: 0, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.3450727550433838}",20,14,9.474261249201712,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.34438329921894006}",20,0,-8.62837218388296,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.3436952209281524}",25,8,28.590408924446994,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.3430085174187067}",30,0,-16.453876446806408,"{0: 23, 1: 4, 2: 3, 3: 0, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.342323185943788}",30,0,-8.027056888291746,"{0: 23, 1: 6, 2: 1, 3: 0, 4: 0}",0
