trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-212.8505513945272,"{0: 19, 1: 2, 2: 3, 3: 2, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.70270815654479,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.29120337311062,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.77352377213958,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-252.5527961338816,"{0: 15, 1: 4, 2: 5, 3: 2, 4: 4}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-59.95955369146932,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-117.72201245366153,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-208.53047573251285,"{0: 12, 1: 2, 2: 7, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-127.99983489662196,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.03207918146475,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-167.83667430035734,"{0: 8, 1: 1, 2: 9, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-148.66551541584874,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,12,-18.76253533574304,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.21509017275122,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-145.83886816579042,"{0: 20, 1: 2, 2: 4, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-61.592697975093955,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-111.73419146631579,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,3,-161.75725681496954,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 3}",1
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-161.40286810725175,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-202.01307539892886,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 4}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-214.58767227797446,"{0: 10, 1: 2, 2: 9, 3: 2, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-171.58797860773956,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",1
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-281.6184248921032,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 6}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-106.68469224007639,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-146.30269669744428,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-38.51205376511631,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-169.44646913507933,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-163.24469516105765,"{0: 20, 1: 0, 2: 5, 3: 3, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-87.261764055514,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-60.78600532757092,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
